     from   to
1       1  250
2       1  308
3       1  413
4       1  525
5       1  803
6       1  894
7       2  332
8       2  433
9       2  474
10      2  847
11      2  963
12      2  968
13      3  147
14      3  290
15      3  337
16      3  393
17    474    3
18      4  179
19      4  193
20      4  233
21      5  737
22      5  793
23      5  838
24      6  684
25      6  718
26      7  237
27      7  404
28      8  698
29      8  724
30     10  285
31     10  641
32     11   86
33    285   11
34     11  376
35     11  689
36     11  758
37     11  889
38     12  145
39     12  410
40     12  544
41     13  583
42     13  835
43     14   96
44     14  788
45     14  924
46     15   43
47     15   91
48     15  446
49     16  181
50     16  289
51     16  378
52     16  406
53     16  547
54     16  784
55     17  189
56     17  399
57     17  482
58     17  822
59     18  262
60    308   18
61     18  817
62     18  832
63     19  260
64     19  997
65     20   81
66     20  229
67     20  839
68     21   56
69     21  840
70     22  183
71     23  186
72     23  397
73     23  676
74     23  760
75     24  344
76     24  534
77     24  980
78     25  303
79     25  343
80     25  395
81     25  925
82     25  988
83     26  483
84     26  522
85     27  132
86     28  335
87     28  506
88     28  643
89     29  304
90     29  704
91     29  871
92     29  872
93     32  466
94     32  524
95     32  567
96     32  683
97    997   32
98     34  264
99     34  279
100    34  896
101    35  105
102    35  356
103    35  460
104    35  568
105    35  726
106    35  789
107    35  865
108    35  902
109    35  951
110   988   35
111    37  138
112    37  293
113   583   38
114    38  614
115    38  633
116    39  224
117    39  550
118    40   64
119   224   40
120    40  463
121    40  521
122   343   41
123    42  347
124    42  566
125    42  746
126    42  885
127    43   99
128    43  424
129    43  442
130    43  459
131    43  571
132    43  613
133   689   43
134    43  807
135    44   84
136    44  106
137    44  257
138    44  883
139    45  191
140    45  222
141    45  265
142    45  631
143    45  681
144    45  853
145    47  207
146    47  296
147    47  546
148   726   47
149    47  866
150    48  161
151    48  665
152    49  640
153    49  816
154    50  160
155    50  669
156    51  284
157    51  313
158    52  371
159    52  973
160    53  270
161    53  407
162    53  748
163    54  230
164   410   54
165    54  445
166    54  587
167    54  644
168    54  651
169    54  936
170    54  961
171    54  964
172    55  320
173    55  804
174    56  284
175    56  476
176    56  506
177    56  755
178    56  919
179   684   57
180    57  730
181    57  754
182    58   85
183    58  259
184    58  609
185    58  975
186   191   59
187    59  278
188    59  360
189   413   59
190    60  454
191    60  589
192   609   60
193   889   60
194    61  170
195    61  184
196    61  215
197    61  365
198    61  426
199    61  707
200    61  828
201    62  548
202    63  294
203    63  479
204    63  671
205    64  473
206    64  497
207    64  642
208    64  914
209    64  942
210    64  999
211    99   65
212    65  358
213    66  491
214   669   66
215    67  326
216    68  310
217    68  531
218    68  717
219    68  852
220    68  882
221    68  960
222    69  172
223    69  331
224    69  416
225    69  552
226   643   69
227    71  453
228    71  607
229    71  732
230    71  994
231    72  245
232    72  428
233    72  943
234    73   97
235    73  255
236   279   73
237    73  570
238    74  238
239    75  412
240    76  235
241    76  271
242    76  532
243    76  722
244    76  927
245   964   76
246   238   77
247    77  286
248    77  638
249    77  736
250    78  216
251    78  351
252    78  526
253    78  745
254    78  911
255   927   78
256    78  971
257   179   79
258    80  970
259    81  839
260   707   82
261    82  814
262    83  288
263    83  556
264    83  595
265    84  456
266    84  560
267    84  563
268    84  976
269    85   98
270    85  249
271    85  609
272    85  802
273    86  149
274    86  661
275    86  689
276    86  788
277    86  953
278    87  312
279    87  630
280    87  696
281    87  740
282   793   87
283   286   88
284   459   88
285   633   88
286    88  682
287    88  864
288    89  400
289   424   89
290   460   89
291    89  947
292    90  208
293    90  354
294   683   90
295    90  744
296    91  467
297    91  946
298    92  195
299   583   92
300    92  932
301    93  402
302    93  411
303   828   93
304    94  321
305    94  670
306   358   95
307   532   95
308    95  931
309    96  766
310    97  129
311    97  458
312   707   97
313   968   97
314    98  116
315   161   98
316    98  336
317    98  422
318    98  493
319    98  802
320    98  877
321    99  281
322    99  442
323    99  651
324    99  826
325    99  907
326   807  100
327   976  100
328   101  352
329   101  364
330   101  414
331   102  190
332   102  618
333   839  102
334   914  102
335   924  102
336   784  103
337   103  887
338   104  635
339   961  104
340   105  182
341   105  772
342   106  380
343   106  488
344   106  510
345   106  662
346   106  670
347   107  520
348   583  107
349   294  109
350   109  584
351   109  597
352   110  267
353   110  388
354   111  338
355   111  862
356   111  933
357   112  691
358   112  998
359   278  113
360   113  763
361   114  475
362   506  114
363   114  790
364   835  114
365   114  898
366   115  420
367   115  494
368   115  819
369   406  116
370   116  440
371   116  535
372   116  692
373   116  886
374   267  117
375   388  117
376   117  437
377   661  117
378   853  117
379   117  876
380   877  117
381   118  219
382   358  118
383   118  798
384   119  156
385   119  672
386   119  731
387   766  119
388   119  825
389   343  120
390   120  972
391   120  981
392   121  551
393   121  842
394   963  121
395   138  122
396   207  122
397   122  349
398   122  527
399   122  529
400   122  650
401   122  770
402   889  122
403   123  150
404   354  123
405   123  377
406   123  811
407   123  922
408   124  617
