"kommune";"year";"bef_tot";"prop_unge_menn";"prop_kvinner_16_18";"prop_menn_16_18";"prop_menn_19_34";"prop_kvinner_19_34";"prop_shj_mottakere";"prop_shj_mottakere_6mnd";"gj_innt_17_34";"gj_innt_35_66";"gj_innt_alle";"lovb_ialt";"Orden";"Rusmiddellovbrudd";"Trafikkovertredelse";"Vold";"lovb_annet"
"0101";2015;30328;0.118900026378264;0.0186955948298602;0.0194539699287787;0.0994460564494856;0.0950276971775257;0.0390068583487207;0.0137826431020839;243200;475800;380500;108.8;18.7;21.7;14.2;10.4;24.5
"0104";2015;31802;0.115338657946041;0.0187095151248349;0.0191182944468901;0.096220363499151;0.0899314508521477;0.0363184705364442;0.0130180491792969;235100;511100;405300;77.1;9.2;14.6;7.9;8.1;10.3
"0105";2015;54192;0.117766459994095;0.0196708001180986;0.0195047239444937;0.0982617360496014;0.0938699439031591;0.0280484204310599;0.0118836728668438;250600;473400;381400;66.5;9.6;12.3;9.6;6.8;8.6
"0106";2015;78159;0.117056257116903;0.0193963587046917;0.0202024079120767;0.0968538492048261;0.093668035670876;0.02552489156719;0.00996686242147417;244300;500700;396600;70.4;8.8;10.3;8;7.4;10.1
"0111";2015;4480;0.0899553571428571;0.0185267857142857;0.0191964285714286;0.0707589285714286;0.0743303571428571;0.0308035714285714;0.0113839285714286;229700;540200;434400;59.2;4.2;4;5.1;7.6;17.9
"0119";2015;3613;0.102131192914476;0.0193744810406864;0.0210351508441738;0.0810960420703017;0.0766675892610019;0.0285081649598671;0.00858012731801827;237500;507300;390600;137.3;16.3;29.9;24.9;5.3;49.3
"0122";2015;5346;0.113916947250281;0.0202020202020202;0.0211372989150767;0.0927796483352039;0.0828656939768051;0.019453797231575;0.00448933782267116;263300;485600;393500;66.8;24.7;11.2;7.9;7.7;8.2
"0123";2015;5692;0.121398453970485;0.0189739985945186;0.0277582572030921;0.0936401967673928;0.0887210119465917;0.0335558678847505;0.0114195361911455;261800;515700;411700;44.4;5.4;3.9;11.8;5.4;8.3
"0124";2015;15513;0.113711081028815;0.0200477019274157;0.0200477019274157;0.0936633791013988;0.0936633791013988;0.0353896731773351;0.0144395023528653;243600;483700;391400;63.9;9.1;8.8;8.2;8.4;11.5
"0125";2015;11353;0.119351713203559;0.0199066326081212;0.020787457059808;0.0985642561437506;0.091605742975425;0.0360257200739893;0.0102175636395666;241400;479800;381500;79;9.6;12.5;18.7;8.5;11.1
"0127";2015;3731;0.110426159206647;0.0214419726614849;0.0203698740284106;0.0900562851782364;0.0908603591530421;0.0238541945859019;0.00428839453229697;280300;495600;406700;33.2;3.5;3.5;5.9;5.4;7.2
"0128";2015;8020;0.110473815461347;0.0192019950124688;0.0193266832917706;0.0911471321695761;0.0902743142144638;0.0286783042394015;0.0112219451371571;265900;492000;408600;66.3;7.1;13.2;14.8;6.6;7.5
"0135";2015;7206;0.107410491257286;0.0188731612545101;0.0172078823202886;0.0902026089369969;0.0815986677768526;0.0241465445462115;0.00832639467110741;254000;536700;421100;60.2;7.1;6.9;18.2;4.2;7.5
"0136";2015;15242;0.111271486681538;0.0210602283164939;0.0236189476446661;0.0876525390368718;0.0805012465555701;0.0329353103267288;0.0147618422779163;242800;542900;429800;73.2;12.6;13.3;10.2;4.6;9.8
"0137";2015;5100;0.123529411764706;0.0158823529411765;0.0207843137254902;0.102745098039216;0.0941176470588235;0.0184313725490196;0.00627450980392157;288000;515400;427200;34.3;2.9;5.3;7.6;4.7;5.1
"0138";2015;5343;0.128953771289538;0.0177802732547258;0.0207748455923638;0.108178925697174;0.0991952086842598;0.0245180610144114;0.00692494853078795;259500;498100;405800;54.3;4.9;4.3;24;4.3;8.8
"0211";2015;16310;0.106683016554261;0.0187614960147149;0.0182709993868792;0.088412017167382;0.0855303494788473;0.0212139791538933;0.00827713059472716;259500;588300;471800;54.4;4;8;10.1;5.5;8.6
"0213";2015;29775;0.113652392947103;0.0203862300587741;0.0225020990764064;0.0911502938706969;0.0866162888329135;0.024752308984047;0.0109151973131822;245000;599600;473100;68.1;5.6;7.1;13.8;5.9;8.8
"0214";2015;18503;0.135491541912122;0.0180511268442955;0.0199427119926498;0.115548829919473;0.111603523752905;0.0197265308328379;0.00729611414365238;226600;554500;427400;65.2;6.2;8.1;15.5;4.4;7.8
"0215";2015;15656;0.100664282064384;0.0203755748594788;0.0217169136433316;0.0789473684210526;0.0771589167092488;0.0163515585079203;0.00581246806336229;229400;654700;511900;51.7;3.5;4.3;19.4;4.5;6.6
"0216";2015;18372;0.104833442194644;0.019867189200958;0.0235684737644241;0.0812649684302199;0.0812649684302199;0.0205747877204442;0.00685826257348138;213100;593200;467500;38.4;4.1;5.9;3.9;3.9;7.8
"0217";2015;26580;0.105492851768247;0.0198645598194131;0.0197893152746426;0.0857035364936042;0.081489841986456;0.01418359668924;0.00432656132430399;235700;690200;528900;49.9;2.6;4.7;13.2;3.7;6.4
"0219";2015;120685;0.107801300907321;0.018154700252724;0.0204002154368811;0.0874010854704396;0.0895305961801384;0.0166300700169864;0.00642167626465592;249300;839900;629200;53.3;5.4;9.6;6.6;3.4;7.8
"0220";2015;59571;0.11074180389787;0.021319098218932;0.0223430864011012;0.0883987174967686;0.0888855315505867;0.0150912356683621;0.00594248879488342;234500;786000;590600;43.7;4.3;7.1;6.4;3.5;6.2
"0221";2015;15726;0.114968841409131;0.0196489889355208;0.0222561363347323;0.0927127050743991;0.0867989317054559;0.0327483148925347;0.013290092839883;267300;477400;392600;42.7;4.5;6.5;9.6;5;9.1
"0226";2015;17089;0.115629937386623;0.0193691848557552;0.0190180818070104;0.0966118555796126;0.093568962490491;0.0170284978641231;0.00585171747908011;274600;567000;453000;34.6;2.6;6.7;7.6;3;6
"0227";2015;11199;0.11349227609608;0.0180373247611394;0.0215197785516564;0.0919724975444236;0.0864362889543709;0.0151799267791767;0.00357174747745334;265700;575300;461400;46.4;4.9;11.3;7.9;5.9;7.3
"0228";2015;17185;0.121850450974687;0.0179226069246436;0.0162350887401804;0.105615362234507;0.103462321792261;0.0218795461157987;0.00832121035787024;292600;568000;459300;64;3.3;9.8;30.9;4.4;6.2
"0229";2015;10760;0.112918215613383;0.0216542750929368;0.0218401486988848;0.0910780669144981;0.0895910780669145;0.0231412639405204;0.00762081784386617;263200;531100;437500;36.1;4.2;5.1;7.2;4.6;7.2
"0230";2015;35139;0.116736389766356;0.0194940095051083;0.0211161387631976;0.0956202510031589;0.0916929906941006;0.0211161387631976;0.0067446427046871;248600;604700;472100;63.2;5;12.6;7.2;5.5;8.3
"0231";2015;51725;0.120831319478009;0.0194296761720638;0.0190043499275012;0.101826969550507;0.0993910101498308;0.0212276462058966;0.00630256162397293;275100;575200;455500;86.7;13.2;13.6;10.6;8.1;11.4
"0233";2015;22706;0.108165242667136;0.021183828063067;0.0216242402889104;0.086541002378226;0.0824892099004668;0.018056901259579;0.00858803840394609;242000;613400;481600;48.6;4.6;9.3;14;4.1;6.1
"0234";2015;6326;0.114764464116345;0.0221308883970914;0.0213404995257667;0.0934239645905786;0.0774581093898198;0.0115396775213405;0.00458425545368321;255900;625300;495100;25.5;3;3.2;4.3;2.8;5.5
"0235";2015;33310;0.125758030621435;0.0169318522966076;0.0201441008706094;0.105613929750826;0.101170819573702;0.0238967277093966;0.00933653557490243;285400;549900;443800;199.5;22.2;61;23.4;11.1;18.8
"0236";2015;20410;0.120921117099461;0.0207741303282705;0.0220480156785889;0.0988731014208721;0.0917197452229299;0.0181283684468398;0.00656540911317981;261400;505900;410800;40.4;4.6;8.9;4.9;4;7.2
"0237";2015;23238;0.118039418194337;0.0181168775281866;0.0177295808589379;0.100309837335399;0.0975557276874086;0.0258197779499096;0.0100697134004648;278400;495200;408500;55.9;4.9;9.4;13.8;6.8;8.3
"0238";2015;11882;0.122033327722606;0.01876788419458;0.0193570106042754;0.10267631711833;0.0930819727318633;0.01876788419458;0.00555462043427033;268900;524700;424200;39.3;4.5;6.3;7.2;5.2;6.6
"0239";2015;2752;0.115188953488372;0.018531976744186;0.0239825581395349;0.0912063953488372;0.076671511627907;0.0268895348837209;0.00690406976744186;248600;470800;383800;35.2;4.4;5.5;6.9;4.7;6.2
