Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Part of Target Population,Main Supervising District,Recidivism - Return to Prison,Release Type,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Parole,Yes,3JD,Yes,Parole,28,D Felony,Property,Theft
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,49,C Felony,Property,Theft
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,Yes,4JD,Yes,Parole,53,Aggravated Misdemeanor,Public Order,OWI
2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,57,C Felony,Violent,Robbery
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Vandalism,Parole,Yes,2JD,Yes,Parole,58,Aggravated Misdemeanor,Public Order,Alcohol
2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,Yes,8JD,Yes,Parole,62,Aggravated Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,45-54,D Felony,Violent,Sex,Special Sentence,Yes,3JD,Yes,Special Sentence,83,Aggravated Misdemeanor,Property,Theft
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,88,Aggravated Misdemeanor,Public Order,Alcohol
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,94,Aggravated Misdemeanor,Public Order,Other Public Order
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,Yes,4JD,Yes,Parole,95,Serious Misdemeanor,Public Order,Flight/Escape
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,96,D Felony,Public Order,Weapons
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,100,Aggravated Misdemeanor,Public Order,Alcohol
2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Arson,Parole,Yes,5JD,Yes,Parole,101,C Felony,Property,Arson
2010,2013,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,103,D Felony,Property,Burglary
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Parole,Yes,4JD,Yes,Parole,108,D Felony,Property,Burglary
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,110,Serious Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Parole,Yes,5JD,Yes,Parole,112,Aggravated Misdemeanor,Property,Forgery/Fraud
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Theft,Parole,Yes,5JD,Yes,Parole,120,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,White - Non-Hispanic,55 and Older,D Felony,Public Order,OWI,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,122,D Felony,Public Order,OWI
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,Yes,2JD,Yes,Parole,127,D Felony,Property,Theft
2010,2013,White - Non-Hispanic,55 and Older,Felony - Enhanced,Drug,Trafficking,Parole,Yes,8JD,Yes,Parole,129,Serious Misdemeanor,Drug,Drug Possession
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,129,Aggravated Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Parole,Yes,5JD,Yes,Parole,132,Aggravated Misdemeanor,Property,Theft
2010,2013,Black - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,Yes,3JD,Yes,Parole,133,D Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Trafficking,Parole,Yes,2JD,Yes,Parole,139,Serious Misdemeanor,Drug,Drug Possession
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,140,C Felony,Property,Burglary
2010,2013,White - Non-Hispanic,35-44,D Felony,Public Order,Sex Offender Registry/Residency,Parole,Yes,7JD,Yes,Parole,142,D Felony,Public Order,Other Public Order
2010,2013,White - Non-Hispanic,25-34,Serious Misdemeanor,Drug,Drug Possession,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,145,Aggravated Misdemeanor,Public Order,Alcohol
